2023-11-01 12:35:50,251 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1cd072a9: startup date [Wed Nov 01 12:35:50 UTC 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2023-11-01 12:35:50,645 | INFO  | PListStore:[/activemq/apache-activemq-5.12.0/data/brokerA/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-11-01 12:35:50,662 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/activemq/apache-activemq-5.12.0/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2023-11-01 12:35:50,808 | INFO  | Apache ActiveMQ 5.12.0 (brokerA, ID:server1-40471-1698842150698-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-11-01 12:35:50,884 | INFO  | Listening for connections at: amqp+ssl://server1:5671?needClientAuth=true&maximumConnections=3 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-11-01 12:35:50,886 | INFO  | Connector amqp+ssl started | org.apache.activemq.broker.TransportConnector | main
2023-11-01 12:35:50,888 | INFO  | Listening for connections at: tcp://server1:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-11-01 12:35:50,889 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2023-11-01 12:35:50,891 | INFO  | Listening for connections at: amqp://server1:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-11-01 12:35:50,892 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2023-11-01 12:35:50,894 | INFO  | Listening for connections at: stomp://server1:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-11-01 12:35:50,895 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2023-11-01 12:35:50,927 | INFO  | Listening for connections at: mqtt://server1:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-11-01 12:35:50,928 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2023-11-01 12:35:50,986 | INFO  | Listening for connections at ws://server1:61610?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2023-11-01 12:35:50,986 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2023-11-01 12:35:50,987 | INFO  | Establishing network connection from vm://brokerA?async=false to tcp://10.2.0.2:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | main
2023-11-01 12:35:50,993 | INFO  | Connector vm://brokerA started | org.apache.activemq.broker.TransportConnector | main
2023-11-01 12:35:50,998 | INFO  | Network Connector DiscoveryNetworkConnector:brokerB:BrokerService[brokerA] started | org.apache.activemq.network.NetworkConnector | main
2023-11-01 12:35:50,999 | INFO  | Apache ActiveMQ 5.12.0 (brokerA, ID:server1-40471-1698842150698-0:1) started | org.apache.activemq.broker.BrokerService | main
2023-11-01 12:35:50,999 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2023-11-01 12:35:51,040 | INFO  | Network connection between vm://brokerA#0 and tcp:///10.2.0.2:61616@52404 (brokerB) has been established. | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp:///10.2.0.2:61616@52404, localBroker= vm://brokerA#0
2023-11-01 12:35:51,069 | INFO  | Started responder end of duplex bridge brokerA@ID:server2-34427-1698842150752-0:1 | org.apache.activemq.broker.TransportConnection | ActiveMQ Transport: tcp:///10.2.0.2:50354@61616
2023-11-01 12:35:51,070 | INFO  | Network connection between vm://brokerA#4 and tcp:///10.2.0.2:50354@61616 (brokerB) has been established. | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp:///10.2.0.2:50354@61616, localBroker= vm://brokerA#4
2023-11-01 12:35:51,155 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2023-11-01 12:35:51,155 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2023-11-01 12:35:51,190 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2023-11-01 12:35:51,330 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2023-11-01 12:35:57,321 | ERROR | Could not accept connection : org.apache.activemq.transport.tcp.ExceededMaximumConnectionsException: Exceeded the maximum number of allowed client connections. See the 'maximumConnections' property on the TCP transport configuration URI in the ActiveMQ configuration file (e.g., activemq.xml) | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: amqp+ssl://0.0.0.0:5671?needClientAuth=true&maximumConnections=3
2023-11-01 12:35:57,927 | ERROR | Could not accept connection : org.apache.activemq.transport.tcp.ExceededMaximumConnectionsException: Exceeded the maximum number of allowed client connections. See the 'maximumConnections' property on the TCP transport configuration URI in the ActiveMQ configuration file (e.g., activemq.xml) | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: amqp+ssl://0.0.0.0:5671?needClientAuth=true&maximumConnections=3
2023-11-01 12:35:58,643 | WARN  | Network connection between vm://brokerA#4 and tcp:///10.2.0.2:50354@61616 shutdown due to a remote error: java.io.EOFException | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ Transport: tcp:///10.2.0.2:50354@61616
2023-11-01 12:35:58,643 | WARN  | Network connection between vm://brokerA#0 and tcp:///10.2.0.2:61616@52404 shutdown due to a remote error: java.io.EOFException | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ Transport: tcp:///10.2.0.2:61616@52404
2023-11-01 12:35:58,644 | INFO  | Establishing network connection from vm://brokerA?async=false to tcp://10.2.0.2:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-1
2023-11-01 12:35:58,646 | INFO  | brokerA Shutting down brokerB | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[brokerA] Task-4
2023-11-01 12:35:58,647 | INFO  | brokerA bridge to brokerB stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[brokerA] Task-3
2023-11-01 12:35:58,646 | INFO  | brokerA bridge to brokerB stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[brokerA] Task-1
2023-11-01 12:35:58,648 | INFO  | brokerA bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[brokerA] Task-4
2023-11-01 12:35:58,649 | INFO  | Connector vm://brokerA stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-1
2023-11-01 12:35:58,650 | WARN  | Could not start network bridge between: vm://brokerA?async=false and: tcp://10.2.0.2:61616 due to: Connection refused (Connection refused) | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-1
